Age,Annual_Income,Employment_Years,Loan_Amount,Credit_Utilization,Number_of_Credit_Cards,Number_of_Late_Payments,Debt_to_Income_Ratio,Number_of_Open_Accounts,Has_Mortgage,Has_Dependents,Credit_Score,Default_Probability,Loan_Status
24,60140.76,4,6934.11,0.208,5,2,0.115,14,0,1,717.0,0.23,Paid
23,56471.94,7,30697.98,0.259,7,0,0.544,11,0,1,713.0,0.273,Paid
27,28520.35,12,14760.97,0.516,1,3,0.518,6,0,0,501.0,0.508,Default
38,43865.54,3,24812.54,0.386,6,1,0.566,4,0,1,617.0,0.388,Paid
62,66175.44,10,9164.14,0.896,1,2,0.138,6,1,0,498.0,0.5,Default
27,64193.08,14,46806.7,0.05,6,0,0.729,10,1,0,747.0,0.231,Paid
60,71897.73,17,17001.22,0.06,7,0,0.236,3,0,0,850.0,0.081,Paid
26,69011.6,19,38594.83,0.906,5,0,0.559,6,1,0,529.0,0.512,Default
42,57732.6,0,15144.86,0.272,2,3,0.262,9,0,1,606.0,0.358,Paid
21,39966.1,0,11764.69,0.052,2,4,0.294,3,1,0,625.0,0.329,Paid
24,60011.44,10,21909.17,0.457,6,3,0.365,1,1,0,570.0,0.442,Paid
66,59115.09,28,27337.6,0.232,6,0,0.462,9,1,0,774.0,0.196,Paid
69,87436.43,28,24323.42,0.1,1,5,0.278,3,0,0,625.0,0.337,Paid
63,86563.73,23,20725.75,0.543,9,0,0.239,12,1,0,730.0,0.263,Paid
49,50424.41,19,15604.24,0.18,7,2,0.309,8,0,0,727.0,0.247,Paid
41,47561.56,29,23720.6,0.828,8,1,0.499,9,1,0,560.0,0.493,Default
46,32926.32,37,19293.73,0.331,2,1,0.586,2,0,0,678.0,0.304,Paid
34,56702.24,4,13709.19,0.256,6,2,0.242,12,0,0,683.0,0.287,Paid
29,50515.86,9,13544.37,0.738,9,0,0.268,5,1,0,638.0,0.378,Paid
67,112146.53,5,29551.86,0.839,1,2,0.264,4,0,0,481.0,0.525,Default
32,37692.41,3,1960.02,0.137,5,2,0.052,5,0,0,750.0,0.184,Paid
62,61171.62,3,23902.43,0.191,8,1,0.391,4,0,1,721.0,0.258,Paid
26,47142.79,6,22826.99,0.491,4,3,0.484,4,0,1,518.0,0.5,Default
40,60492.34,32,37454.98,0.599,1,3,0.619,3,0,0,495.0,0.531,Default
44,53332.08,8,1000.0,0.127,7,2,0.019,12,0,0,779.0,0.161,Paid
47,76229.94,25,1000.0,0.399,1,0,0.013,12,0,1,783.0,0.133,Paid
58,68806.36,20,6183.62,0.885,7,2,0.09,11,1,1,562.0,0.461,Default
28,75561.3,21,8711.18,0.865,7,1,0.115,13,1,0,605.0,0.408,Paid
21,44959.93,32,24525.42,0.339,7,0,0.545,2,1,1,738.0,0.255,Paid
69,81586.06,32,1749.81,0.262,5,5,0.021,12,0,0,656.0,0.317,Paid
69,50365.99,4,12153.05,0.592,4,1,0.241,13,0,1,612.0,0.371,Paid
44,31875.06,20,8146.44,0.139,4,1,0.256,13,0,0,777.0,0.162,Paid
67,56362.19,26,12130.5,0.267,1,2,0.215,8,0,0,704.0,0.239,Paid
27,62267.31,0,28998.77,0.205,2,1,0.466,13,0,0,665.0,0.292,Paid
39,35005.17,15,20755.89,0.243,7,1,0.593,3,1,0,683.0,0.315,Paid
42,77471.91,34,8888.44,0.25,8,1,0.115,10,0,0,820.0,0.136,Paid
55,43776.8,35,1191.85,0.634,8,1,0.027,2,0,0,724.0,0.262,Paid
50,42920.84,31,20381.88,0.504,9,1,0.475,8,0,0,671.0,0.352,Paid
49,59999.18,28,8474.43,0.852,7,1,0.141,8,1,1,617.0,0.397,Paid
42,77146.08,38,12325.12,0.734,1,3,0.16,5,0,0,559.0,0.436,Paid
31,35683.53,22,12550.8,0.514,8,1,0.352,2,0,0,669.0,0.337,Paid
40,78812.57,14,26114.57,0.336,7,2,0.331,10,0,0,666.0,0.326,Paid
49,16812.67,25,11522.1,0.824,2,1,0.685,8,0,0,486.0,0.555,Default
61,66613.36,36,10900.28,0.124,6,0,0.164,14,1,1,850.0,0.047,Paid
62,37406.12,24,5878.8,0.683,3,2,0.157,4,1,0,597.0,0.392,Paid
54,44028.99,1,7419.62,0.155,5,1,0.169,11,1,0,757.0,0.181,Paid
21,94757.75,11,24168.1,0.546,6,3,0.255,12,0,0,567.0,0.443,Paid
51,40236.75,18,15074.82,0.889,6,1,0.375,11,0,1,535.0,0.502,Default
50,58875.13,31,13049.74,0.271,8,4,0.222,5,0,0,666.0,0.333,Paid
68,38665.78,22,1758.27,0.123,8,0,0.045,9,1,0,850.0,0.039,Paid
38,75383.78,4,4659.01,0.366,9,0,0.062,6,1,0,781.0,0.177,Paid
37,68178.86,24,20361.04,0.495,1,2,0.299,4,0,0,615.0,0.36,Paid
58,70996.04,34,12833.89,0.724,4,1,0.181,10,1,0,645.0,0.346,Paid
34,82617.39,28,12825.28,0.078,1,1,0.155,14,0,0,817.0,0.092,Paid
43,53243.8,37,18566.88,0.172,6,2,0.349,8,1,1,753.0,0.219,Paid
45,81490.15,19,21449.19,0.432,3,3,0.263,12,0,0,601.0,0.384,Paid
35,89798.12,35,21940.04,0.138,5,1,0.244,1,0,0,815.0,0.129,Paid
66,65688.91,6,12179.04,0.939,9,1,0.185,6,1,1,548.0,0.489,Default
42,37874.33,21,13817.61,0.525,3,0,0.365,14,1,1,676.0,0.298,Paid
23,35900.84,17,20271.66,0.401,2,2,0.565,9,1,0,581.0,0.416,Paid
39,68845.47,20,1000.0,0.961,8,1,0.015,8,1,1,599.0,0.419,Paid
64,37861.5,21,16646.09,0.651,7,2,0.44,11,1,0,564.0,0.47,Default
54,33132.06,38,22120.03,0.53,1,1,0.668,6,0,0,599.0,0.406,Paid
55,77674.84,11,8072.35,0.274,9,1,0.104,8,1,0,774.0,0.189,Paid
21,50824.05,10,2243.02,0.285,4,2,0.044,2,1,1,716.0,0.227,Paid
41,108388.0,11,29285.89,0.387,6,2,0.27,6,0,0,652.0,0.334,Paid
49,46850.69,25,7096.02,0.748,7,1,0.151,2,0,1,640.0,0.365,Paid
26,50052.83,29,14581.05,0.809,8,3,0.291,14,0,0,527.0,0.523,Default
57,67184.23,14,18110.23,0.229,4,0,0.27,8,0,1,775.0,0.164,Paid
21,64091.3,7,5902.76,0.81,9,1,0.092,8,1,0,608.0,0.408,Paid
21,58316.29,17,1000.0,0.358,1,5,0.017,2,0,0,578.0,0.384,Paid
47,57840.74,9,17812.19,0.236,8,1,0.308,6,1,0,736.0,0.239,Paid
41,124856.64,7,1083.91,0.231,9,2,0.01,9,0,1,758.0,0.201,Paid
36,93215.42,37,21745.35,0.481,4,1,0.233,11,0,0,713.0,0.258,Paid
64,76870.48,34,13505.0,0.763,5,0,0.176,13,0,0,679.0,0.31,Paid
60,35491.6,19,36474.71,0.581,2,1,1.028,11,1,0,478.0,0.573,Default
46,58521.79,11,16428.84,0.482,5,0,0.281,5,1,0,696.0,0.275,Paid
36,73210.89,2,7855.0,0.067,3,0,0.107,9,0,0,828.0,0.075,Paid
48,74964.38,19,22897.46,0.574,9,1,0.305,4,0,0,660.0,0.353,Paid
21,85552.15,11,25753.37,0.677,5,1,0.301,7,0,0,594.0,0.409,Paid
56,47176.94,23,1551.11,0.141,5,3,0.033,13,0,1,752.0,0.19,Paid
30,59229.28,15,19319.93,0.939,7,3,0.326,4,1,1,448.0,0.614,Default
63,44899.7,9,18446.58,0.135,9,2,0.411,12,1,0,710.0,0.279,Paid
37,86694.94,18,24677.72,0.692,5,2,0.285,11,1,1,566.0,0.446,Paid
43,73976.54,13,4747.7,0.538,9,1,0.064,11,1,0,707.0,0.278,Paid
27,49853.15,13,22209.29,0.872,7,1,0.445,8,1,1,520.0,0.527,Default
64,64497.56,21,19127.67,0.435,6,0,0.297,5,0,0,732.0,0.241,Paid
27,61006.19,3,12584.38,0.523,6,1,0.206,12,1,1,648.0,0.335,Paid
64,42401.36,33,41726.72,0.564,4,1,0.984,9,1,0,530.0,0.525,Default
35,78603.32,17,3123.22,0.864,9,2,0.04,14,0,0,582.0,0.443,Paid
54,61539.51,33,12575.4,0.794,9,1,0.204,11,0,1,642.0,0.383,Paid
66,49413.6,17,6048.32,0.311,3,1,0.122,2,1,1,741.0,0.197,Paid
65,42057.81,39,18383.69,0.938,4,3,0.437,9,1,0,459.0,0.598,Default
24,77091.93,30,32064.09,0.75,1,3,0.416,1,1,0,487.0,0.535,Default
34,65362.83,19,29324.8,0.061,9,1,0.449,8,0,1,785.0,0.191,Paid
34,46106.93,35,1000.0,0.221,6,1,0.022,5,1,0,839.0,0.095,Paid
36,50043.29,9,30792.19,0.846,3,0,0.615,7,0,0,506.0,0.525,Default
27,60110.4,2,10001.36,0.651,2,2,0.166,6,1,1,556.0,0.426,Paid
52,61276.21,20,8007.78,0.29,8,0,0.131,10,1,0,817.0,0.135,Paid
39,63841.09,35,16493.77,0.209,6,1,0.258,2,1,1,796.0,0.161,Paid
22,24616.2,9,12143.26,0.186,3,0,0.493,14,1,0,728.0,0.225,Paid
30,62408.25,6,11625.86,0.346,3,0,0.186,10,0,0,736.0,0.202,Paid
37,35616.99,21,7657.26,0.886,8,0,0.215,11,1,0,623.0,0.397,Paid
57,88380.08,22,18209.5,0.377,1,3,0.206,10,0,1,625.0,0.339,Paid
32,80858.53,11,27178.19,0.664,3,3,0.336,1,0,1,500.0,0.515,Default
26,83134.61,38,16458.51,0.154,5,1,0.198,14,1,1,825.0,0.115,Paid
42,15000.0,12,14007.57,0.544,5,3,0.934,13,1,0,429.0,0.644,Default
52,54016.36,39,21188.38,0.369,8,2,0.392,11,0,0,699.0,0.307,Paid
61,58439.85,12,27676.79,0.199,6,1,0.474,12,0,0,709.0,0.268,Paid
40,71499.93,32,16278.26,0.792,3,0,0.228,7,0,0,646.0,0.341,Paid
21,78017.49,30,13399.86,0.808,4,1,0.172,10,0,1,613.0,0.385,Paid
67,85692.51,27,21330.62,0.335,4,1,0.249,11,0,0,734.0,0.225,Paid
26,15000.0,18,8132.36,0.658,6,0,0.542,5,1,0,610.0,0.41,Paid
39,43973.99,20,1000.0,0.416,9,3,0.023,8,0,0,686.0,0.303,Paid
38,61155.98,31,21115.23,0.091,8,1,0.345,4,0,0,816.0,0.148,Paid
26,76589.98,25,10814.04,0.448,7,1,0.141,7,1,0,732.0,0.241,Paid
65,76036.23,12,9711.82,0.586,9,0,0.128,9,0,0,718.0,0.269,Paid
53,69498.05,28,1000.0,0.328,9,1,0.014,2,1,0,810.0,0.15,Paid
43,47258.78,6,7525.02,0.932,6,4,0.159,8,0,1,420.0,0.629,Default
43,49803.99,25,11468.52,0.569,9,2,0.23,10,1,1,648.0,0.367,Paid
46,47411.02,5,29403.66,0.395,8,2,0.62,13,1,0,577.0,0.454,Default
33,40378.93,31,32533.42,0.734,3,2,0.806,11,0,0,466.0,0.593,Default
27,40098.84,35,13186.86,0.367,6,1,0.329,8,1,0,734.0,0.245,Paid
35,38186.14,22,20481.94,0.073,4,0,0.536,6,1,1,785.0,0.166,Paid
64,66719.0,10,3524.92,0.058,3,3,0.053,3,0,0,737.0,0.189,Paid
47,62486.61,20,16248.32,0.331,5,0,0.26,8,0,1,764.0,0.19,Paid
46,41464.27,18,10892.72,0.195,8,1,0.263,12,1,0,775.0,0.191,Paid
53,25770.35,33,1000.0,0.378,7,1,0.039,2,1,0,790.0,0.167,Paid
35,52613.33,34,26316.38,0.766,7,1,0.5,13,1,0,583.0,0.458,Default
56,89601.11,30,16989.7,0.337,2,0,0.19,3,0,0,781.0,0.152,Paid
65,60120.87,28,21932.28,0.57,7,0,0.365,2,0,0,697.0,0.302,Paid
47,76001.54,5,11092.02,0.905,1,3,0.146,14,0,0,444.0,0.566,Default
25,63600.92,35,1000.0,0.699,6,2,0.016,3,1,1,657.0,0.334,Paid
22,58837.31,30,1000.0,0.572,7,1,0.017,7,1,1,730.0,0.244,Paid
53,30538.96,31,24133.78,0.856,2,2,0.79,14,0,1,427.0,0.638,Default
36,51866.3,39,12550.03,0.357,8,2,0.242,8,0,1,732.0,0.258,Paid
43,49304.24,19,21096.1,0.234,8,2,0.428,9,1,1,692.0,0.304,Paid
58,89624.37,21,10752.73,0.745,6,0,0.12,14,1,0,675.0,0.312,Paid
36,63664.41,2,15932.45,0.105,7,3,0.25,1,0,0,688.0,0.283,Paid
34,85550.72,7,15005.64,0.444,5,1,0.175,10,0,1,681.0,0.286,Paid
49,82548.93,18,5772.62,0.317,5,1,0.07,10,1,0,762.0,0.182,Paid
46,43081.72,30,17604.48,0.953,8,2,0.409,2,0,1,502.0,0.564,Default
55,60023.19,31,30432.61,0.401,2,1,0.507,14,0,0,660.0,0.32,Paid
35,93697.57,14,10077.15,0.667,4,1,0.108,12,1,0,636.0,0.341,Paid
23,71263.58,38,1000.0,0.3,7,2,0.014,14,0,0,788.0,0.168,Paid
43,70054.38,30,22198.9,0.964,8,0,0.317,5,0,0,597.0,0.441,Paid
49,78271.62,2,1289.53,0.218,4,3,0.016,12,0,1,685.0,0.258,Paid
54,69607.62,31,5155.57,0.893,6,2,0.074,7,1,0,579.0,0.438,Paid
53,70927.1,9,12262.13,0.464,3,3,0.173,1,0,0,589.0,0.39,Paid
61,66042.21,27,21311.99,0.447,7,5,0.323,7,0,1,540.0,0.492,Default
61,53204.86,26,19848.93,0.702,2,0,0.373,1,1,0,627.0,0.361,Paid
43,38838.18,39,11793.43,0.137,1,2,0.304,1,0,0,751.0,0.188,Paid
27,22860.97,30,1818.93,0.558,5,1,0.08,3,0,1,712.0,0.257,Paid
23,53412.5,33,41826.1,0.255,4,1,0.783,8,0,0,663.0,0.341,Paid
52,68732.09,4,16835.18,0.196,5,1,0.245,1,0,0,735.0,0.214,Paid
51,64771.42,10,23200.33,0.866,9,3,0.358,6,0,0,464.0,0.604,Default
38,72718.23,6,19839.7,0.977,1,2,0.273,9,1,0,439.0,0.581,Default
63,57479.13,7,30042.1,0.953,8,0,0.523,11,0,1,514.0,0.544,Default
27,114440.0,16,4385.51,0.814,3,2,0.038,10,0,0,565.0,0.425,Paid
61,100545.14,38,18649.58,0.906,7,2,0.185,13,0,0,572.0,0.462,Default
21,29648.1,13,11798.21,0.91,3,0,0.398,11,0,1,539.0,0.477,Default
34,73130.18,23,4155.27,0.214,5,1,0.057,12,0,1,805.0,0.127,Paid
52,79375.51,29,28026.62,0.13,7,3,0.353,9,0,1,713.0,0.27,Paid
26,17549.64,14,5563.88,0.168,6,1,0.317,5,1,0,754.0,0.204,Paid
59,63337.68,3,19828.76,0.201,2,2,0.313,3,1,0,663.0,0.288,Paid
30,70338.3,12,31861.91,0.815,3,2,0.453,3,0,0,474.0,0.558,Default
27,59887.57,4,31647.02,0.925,9,1,0.528,5,0,0,480.0,0.591,Default
46,67719.48,30,5773.95,0.377,6,6,0.085,7,0,0,570.0,0.436,Paid
54,61581.27,11,24743.08,0.082,2,0,0.402,13,0,0,777.0,0.151,Paid
50,74051.59,29,20905.24,0.336,5,2,0.282,5,1,0,696.0,0.281,Paid
56,90966.85,9,3201.78,0.707,9,1,0.035,4,1,0,654.0,0.345,Paid
41,75411.63,29,1000.0,0.927,4,2,0.013,1,0,1,567.0,0.437,Paid
37,83506.25,25,15063.0,0.468,2,1,0.18,6,1,0,693.0,0.261,Paid
53,38851.62,5,27090.92,0.363,2,0,0.697,11,1,0,622.0,0.364,Paid
30,100548.47,26,44099.11,0.657,4,2,0.439,3,1,0,557.0,0.463,Default
67,66298.53,19,8942.18,0.246,7,1,0.135,7,0,0,782.0,0.171,Paid
62,52188.68,27,16820.99,0.762,5,2,0.322,6,0,0,556.0,0.468,Default
32,68307.61,19,4603.76,0.435,7,2,0.067,5,0,0,699.0,0.276,Paid
36,49107.76,11,30869.98,0.959,4,3,0.629,8,0,0,359.0,0.72,Default
61,62761.45,20,18215.3,0.919,1,1,0.29,14,1,0,521.0,0.485,Default
52,66022.47,29,19398.47,0.669,4,0,0.294,13,1,0,669.0,0.318,Paid
35,46275.32,9,16296.77,0.653,5,1,0.352,13,0,0,587.0,0.419,Paid
47,63115.68,4,6645.27,0.165,6,3,0.105,9,1,0,698.0,0.259,Paid
48,45981.02,36,24109.85,0.311,4,2,0.524,10,0,0,664.0,0.33,Paid
37,45852.23,7,25283.98,0.852,7,3,0.551,14,0,1,413.0,0.662,Default
66,39781.06,29,27816.16,0.388,4,2,0.699,12,0,1,592.0,0.427,Paid
22,52525.88,16,25593.06,0.444,4,2,0.487,6,0,0,591.0,0.412,Paid
56,48986.15,2,5471.46,0.831,6,1,0.112,6,0,0,572.0,0.432,Paid
27,69477.56,20,13045.3,0.447,1,1,0.188,8,0,1,683.0,0.265,Paid
33,81926.1,15,19321.76,0.841,9,0,0.236,4,0,1,626.0,0.397,Paid
35,73241.74,31,8713.55,0.115,6,0,0.119,8,1,0,850.0,0.04,Paid
45,79449.96,26,3571.13,0.693,4,3,0.045,3,0,0,585.0,0.409,Paid
43,77763.36,5,12191.76,0.109,4,2,0.157,2,1,0,736.0,0.2,Paid
42,41466.08,15,16529.87,0.785,9,0,0.399,8,1,0,610.0,0.423,Paid
46,53318.68,2,48430.54,0.564,9,1,0.908,9,0,0,508.0,0.564,Default
53,95588.17,39,27958.57,0.567,6,2,0.292,4,0,0,649.0,0.357,Paid
31,49107.23,19,7841.44,0.4,5,2,0.16,13,0,0,681.0,0.29,Paid
30,97077.63,39,7701.5,0.89,1,3,0.079,5,1,0,530.0,0.472,Default
45,51655.85,6,4313.16,0.523,9,0,0.083,3,1,1,733.0,0.242,Paid
57,19048.91,10,22547.8,0.292,6,3,1.184,12,1,0,456.0,0.622,Default
68,55054.39,28,11182.93,0.816,9,1,0.203,4,1,1,625.0,0.402,Paid
63,76931.39,2,13652.76,0.932,2,2,0.177,12,0,0,469.0,0.542,Default
58,93269.03,20,10213.46,0.275,8,0,0.11,6,0,0,825.0,0.123,Paid
61,30441.83,31,37945.03,0.613,7,0,1.246,3,1,1,514.0,0.577,Default
65,76565.34,29,28027.49,0.597,1,0,0.366,3,0,0,661.0,0.311,Paid
44,77862.96,38,5045.08,0.617,6,1,0.065,11,0,0,718.0,0.26,Paid
60,86028.05,10,3582.59,0.575,8,1,0.042,8,0,1,689.0,0.292,Paid
66,15000.0,16,27082.79,0.143,1,0,1.5,1,0,1,544.0,0.495,Default
53,93136.59,24,5470.0,0.434,3,2,0.059,7,0,1,691.0,0.263,Paid
37,68818.04,24,28147.47,0.967,1,1,0.409,11,1,1,491.0,0.531,Default
44,69172.94,8,22277.36,0.132,4,1,0.322,4,1,0,742.0,0.203,Paid
57,80779.97,28,5796.93,0.673,4,1,0.072,4,0,0,670.0,0.305,Paid
22,19903.11,14,21539.09,0.882,6,1,1.082,9,1,1,387.0,0.719,Default
52,80299.98,18,19076.59,0.237,6,3,0.238,5,0,0,678.0,0.3,Paid
44,107498.35,14,1000.0,0.796,2,4,0.01,12,0,0,487.0,0.514,Default
29,32627.0,38,15055.79,0.275,7,4,0.461,13,1,1,626.0,0.392,Paid
24,58712.12,34,11446.63,0.078,7,1,0.195,11,0,0,850.0,0.092,Paid
37,60749.21,39,18679.68,0.535,6,2,0.307,5,1,0,656.0,0.348,Paid
37,67129.06,12,13342.73,0.711,9,1,0.199,14,0,1,626.0,0.39,Paid
68,68520.79,15,18759.58,0.233,4,1,0.274,14,0,0,735.0,0.215,Paid
50,46570.16,2,8821.39,0.115,8,0,0.189,12,0,1,821.0,0.119,Paid
60,60799.01,30,13816.42,0.565,2,3,0.227,1,0,0,585.0,0.404,Paid
31,94880.63,0,1798.02,0.187,4,1,0.019,8,0,1,770.0,0.151,Paid
41,68123.05,34,10979.7,0.221,7,1,0.161,6,0,0,814.0,0.139,Paid
41,67364.98,15,10784.28,0.704,7,0,0.16,2,1,0,672.0,0.32,Paid
38,45709.05,0,1000.0,0.619,4,1,0.022,5,1,0,640.0,0.324,Paid
49,86782.82,13,15611.4,0.931,9,2,0.18,5,0,0,526.0,0.52,Default
44,55661.56,6,31199.69,0.351,2,3,0.561,10,1,1,535.0,0.466,Default
30,18997.26,22,7900.0,0.249,6,0,0.416,5,0,0,766.0,0.201,Paid
65,68404.02,34,26653.52,0.66,3,3,0.39,5,0,0,537.0,0.483,Default
37,74138.67,28,17845.64,0.954,2,1,0.241,13,0,0,542.0,0.468,Default
38,54023.91,21,1000.0,0.565,1,1,0.019,3,1,1,684.0,0.259,Paid
62,15356.94,15,39670.04,0.323,8,1,1.5,3,0,0,483.0,0.619,Default
68,37675.93,28,5859.07,0.897,2,2,0.156,5,1,0,536.0,0.469,Default
40,57697.55,5,15226.31,0.618,4,1,0.264,10,1,0,602.0,0.386,Paid
57,52191.51,17,18837.39,0.248,3,2,0.361,5,1,0,672.0,0.293,Paid
65,68833.43,28,14660.12,0.933,8,2,0.213,7,0,0,543.0,0.501,Default
38,71833.53,24,23181.75,0.304,7,1,0.323,13,0,1,737.0,0.24,Paid
37,51283.56,1,27263.81,0.886,4,2,0.532,10,0,1,420.0,0.632,Default
29,32020.36,31,5969.64,0.622,6,1,0.186,12,1,0,678.0,0.313,Paid
34,89064.2,35,12773.3,0.517,5,0,0.143,14,1,0,761.0,0.2,Paid
69,71211.57,31,8267.08,0.359,2,0,0.116,3,1,0,791.0,0.137,Paid
49,73427.99,19,8204.92,0.161,7,1,0.112,10,1,0,812.0,0.13,Paid
51,67682.91,36,16116.35,0.278,9,1,0.238,1,1,1,796.0,0.181,Paid
24,81948.38,37,24952.96,0.358,8,1,0.304,5,0,1,756.0,0.23,Paid
38,52378.08,32,1000.0,0.319,7,1,0.019,5,0,0,810.0,0.139,Paid
40,76566.53,4,13485.89,0.118,6,1,0.176,1,0,0,777.0,0.162,Paid
67,73370.02,5,6537.48,0.589,2,0,0.089,4,0,0,675.0,0.272,Paid
63,72708.37,21,21293.97,0.492,6,1,0.293,7,0,1,676.0,0.313,Paid
64,36107.47,20,20353.85,0.149,1,2,0.564,10,0,1,658.0,0.309,Paid
29,62782.47,18,24810.15,0.481,6,1,0.395,6,0,0,653.0,0.345,Paid
33,67741.09,14,2458.21,0.123,7,3,0.036,4,0,0,749.0,0.202,Paid
35,95579.74,33,18456.43,0.916,4,1,0.193,14,0,0,582.0,0.428,Paid
47,61996.99,6,14215.17,0.291,7,2,0.229,1,0,1,684.0,0.293,Paid
35,81639.35,16,1000.0,0.724,9,1,0.012,13,0,1,667.0,0.331,Paid
48,30270.63,4,1000.0,0.284,1,4,0.033,5,1,1,611.0,0.335,Paid
57,45669.62,38,10424.16,0.491,4,1,0.228,9,1,1,713.0,0.259,Paid
39,68781.96,1,15015.12,0.918,4,2,0.218,9,1,0,473.0,0.551,Default
46,68607.79,26,27105.57,0.861,4,2,0.395,14,1,0,505.0,0.531,Default
46,45665.57,23,11977.48,0.774,1,0,0.262,6,0,0,616.0,0.362,Paid
45,79115.05,27,18659.37,0.785,7,3,0.236,1,0,0,536.0,0.501,Default
46,56649.6,0,15873.74,0.816,8,2,0.28,6,0,0,509.0,0.53,Default
46,56183.89,20,5719.7,0.741,7,3,0.102,8,0,0,562.0,0.457,Default
66,58431.58,27,10218.94,0.884,2,4,0.175,12,1,0,454.0,0.572,Default
48,86772.52,2,15252.99,0.376,4,0,0.176,5,0,0,726.0,0.219,Paid
69,81779.07,29,2606.63,0.539,2,2,0.032,8,1,0,670.0,0.287,Paid
38,97662.76,0,20757.9,0.651,7,2,0.213,8,1,0,567.0,0.444,Paid
52,71009.54,17,29458.26,0.234,4,0,0.415,14,0,1,751.0,0.204,Paid
23,98618.18,32,31019.27,0.518,7,1,0.315,3,0,0,691.0,0.308,Paid
22,64762.17,14,21901.47,0.165,6,2,0.338,10,0,1,711.0,0.26,Paid
53,57471.41,23,18386.11,0.619,3,1,0.32,13,0,1,621.0,0.368,Paid
62,51237.3,35,1000.0,0.141,9,4,0.02,3,0,0,759.0,0.212,Paid
39,56475.89,33,4852.4,0.518,8,5,0.086,1,0,0,583.0,0.437,Paid
37,57456.5,25,1232.77,0.479,7,1,0.021,2,1,0,747.0,0.218,Paid
64,46286.64,39,10234.17,0.154,3,3,0.221,7,1,1,733.0,0.22,Paid
53,48187.21,21,22666.31,0.459,5,2,0.47,7,1,0,605.0,0.403,Paid
32,72150.93,15,17637.2,0.68,8,1,0.244,13,0,0,627.0,0.385,Paid
69,50237.84,39,18733.89,0.603,2,1,0.373,10,0,0,642.0,0.345,Paid
23,25992.35,15,19723.17,0.476,4,1,0.759,14,0,0,565.0,0.458,Default
63,24975.07,4,7528.48,0.389,5,0,0.301,12,1,1,706.0,0.258,Paid
69,18052.53,5,12740.79,0.103,2,2,0.706,7,1,0,618.0,0.363,Paid
46,31650.12,23,17123.71,0.939,6,1,0.541,10,0,1,496.0,0.562,Default
55,36001.3,29,26136.81,0.425,7,1,0.726,13,0,0,630.0,0.4,Paid
28,40519.55,36,13690.12,0.437,8,0,0.338,8,0,0,763.0,0.224,Paid
56,65720.65,31,12662.47,0.169,4,1,0.193,1,0,0,803.0,0.134,Paid
27,34560.05,18,1163.75,0.545,5,4,0.034,9,0,0,581.0,0.412,Paid
66,41611.52,27,6861.78,0.961,3,5,0.165,2,1,0,398.0,0.65,Default
66,23363.61,7,17278.72,0.285,5,1,0.74,8,0,0,615.0,0.392,Paid
56,46791.94,0,13304.99,0.341,6,1,0.284,6,0,0,681.0,0.292,Paid
36,74477.78,3,1000.0,0.27,4,0,0.013,8,1,1,792.0,0.126,Paid
44,59532.56,21,1000.0,0.856,6,0,0.017,8,0,0,662.0,0.325,Paid
21,61639.76,21,4285.27,0.492,9,2,0.07,5,1,0,696.0,0.296,Paid
69,59960.92,29,12183.35,0.816,4,2,0.203,7,1,1,563.0,0.449,Paid
45,34303.61,26,24742.63,0.841,7,1,0.721,1,0,0,501.0,0.571,Default
30,51824.88,26,17600.26,0.747,8,1,0.34,10,0,0,610.0,0.419,Paid
36,64419.51,12,5396.13,0.293,3,1,0.084,13,0,0,744.0,0.188,Paid
36,79391.14,38,7893.67,0.083,7,4,0.099,9,0,0,756.0,0.207,Paid
28,67272.09,26,19838.18,0.183,9,2,0.295,4,0,0,753.0,0.23,Paid
49,77612.19,38,18389.54,0.698,1,1,0.237,7,0,0,634.0,0.344,Paid
59,38275.27,37,8131.32,0.739,1,0,0.212,11,0,0,665.0,0.305,Paid
48,29933.2,7,1000.0,0.763,7,0,0.033,8,0,0,663.0,0.321,Paid
26,24951.58,11,18062.43,0.277,2,2,0.724,14,0,0,574.0,0.426,Paid
36,76341.33,23,11586.71,0.192,8,2,0.152,2,0,1,768.0,0.196,Paid
40,31206.04,17,32325.53,0.908,6,2,1.036,5,1,0,354.0,0.76,Default
36,81234.1,14,11579.48,0.668,2,2,0.143,13,1,0,579.0,0.402,Paid
27,51080.3,15,14753.64,0.74,4,2,0.289,9,1,0,540.0,0.473,Default
61,93375.19,32,12873.24,0.137,7,5,0.138,12,0,0,680.0,0.302,Paid
34,51027.62,9,19374.54,0.434,8,1,0.38,14,0,1,662.0,0.339,Paid
63,52124.06,23,18963.08,0.109,5,2,0.364,2,1,0,736.0,0.227,Paid
46,61339.4,18,3818.04,0.662,2,1,0.062,3,0,0,645.0,0.317,Paid
46,51707.64,26,1694.06,0.505,2,0,0.033,9,0,0,754.0,0.18,Paid
34,68361.34,30,26027.88,0.47,4,0,0.381,2,0,0,713.0,0.262,Paid
27,39105.6,20,10307.18,0.89,3,2,0.264,2,0,0,505.0,0.515,Default
53,63726.69,15,20468.64,0.738,7,4,0.321,10,0,0,469.0,0.582,Default
46,44983.1,22,11560.25,0.947,5,1,0.257,5,0,0,544.0,0.482,Default
65,55889.15,13,1000.0,0.093,5,0,0.018,12,1,0,850.0,0.037,Paid
40,32496.67,22,28963.2,0.623,8,0,0.891,14,1,0,569.0,0.492,Default
